task,domain,source_anchor_pct,target_anchor_pct,condition,metric,mean,std,n_folds,n_samples,n_groups,source_bundle,source_training_position_pct,target_training_position_pct,source_route_auroc,target_route_auroc,source_rank,target_rank,source_representation,target_representation
earlystop,math,40,40,frozen_basis,stop_acc,0.758333,0.040825,5,7680,120,es_svd_ms_rr_r1,40,40,0.935389,0.935389,16,16,raw+rank,raw+rank
earlystop,math,40,40,task_specific,auroc,0.945627,0.017461,5,7680,120,es_svd_ms_rr_r1,40,40,0.935389,0.935389,16,16,raw+rank,raw+rank
earlystop,math,40,40,task_specific,selacc@10%,0.996104,0.003181,5,7680,120,es_svd_ms_rr_r1,40,40,0.935389,0.935389,16,16,raw+rank,raw+rank
earlystop,math,40,40,task_specific,stop_acc,0.766667,0.042492,5,7680,120,es_svd_ms_rr_r1,40,40,0.935389,0.935389,16,16,raw+rank,raw+rank
earlystop,math,40,40,no_svd,auroc,0.947742,0.013603,5,7680,120,es_svd_ms_rr_r1,40,40,0.935389,0.935389,16,16,raw+rank,raw+rank
earlystop,math,40,40,no_svd,selacc@10%,0.997403,0.003181,5,7680,120,es_svd_ms_rr_r1,40,40,0.935389,0.935389,16,16,raw+rank,raw+rank
earlystop,math,40,40,no_svd,stop_acc,0.758333,0.040825,5,7680,120,es_svd_ms_rr_r1,40,40,0.935389,0.935389,16,16,raw+rank,raw+rank
earlystop,math,40,70,frozen_basis,auroc,0.957682,0.014229,5,7680,120,es_svd_ms_rr_r1,40,70,0.935389,0.945019,16,16,raw+rank,raw+rank
earlystop,math,40,70,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,40,70,0.935389,0.945019,16,16,raw+rank,raw+rank
earlystop,math,40,70,frozen_basis,stop_acc,0.766667,0.067700,5,7680,120,es_svd_ms_rr_r1,40,70,0.935389,0.945019,16,16,raw+rank,raw+rank
earlystop,math,40,70,task_specific,auroc,0.958260,0.013974,5,7680,120,es_svd_ms_rr_r1,40,70,0.935389,0.945019,16,16,raw+rank,raw+rank
earlystop,math,40,70,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,40,70,0.935389,0.945019,16,16,raw+rank,raw+rank
earlystop,math,40,70,task_specific,stop_acc,0.766667,0.067700,5,7680,120,es_svd_ms_rr_r1,40,70,0.935389,0.945019,16,16,raw+rank,raw+rank
earlystop,math,40,70,no_svd,auroc,0.959111,0.012643,5,7680,120,es_svd_ms_rr_r1,40,70,0.935389,0.945019,16,16,raw+rank,raw+rank
earlystop,math,40,70,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,40,70,0.935389,0.945019,16,16,raw+rank,raw+rank
earlystop,math,40,70,no_svd,stop_acc,0.775000,0.056519,5,7680,120,es_svd_ms_rr_r1,40,70,0.935389,0.945019,16,16,raw+rank,raw+rank
earlystop,math,40,100,frozen_basis,auroc,0.965701,0.010427,5,7680,120,es_svd_ms_rr_r1,40,100,0.935389,0.956656,16,16,raw+rank,raw+rank
earlystop,math,40,100,frozen_basis,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,40,100,0.935389,0.956656,16,16,raw+rank,raw+rank
earlystop,math,40,100,frozen_basis,stop_acc,0.791667,0.026352,5,7680,120,es_svd_ms_rr_r1,40,100,0.935389,0.956656,16,16,raw+rank,raw+rank
earlystop,math,40,100,task_specific,auroc,0.965784,0.010693,5,7680,120,es_svd_ms_rr_r1,40,100,0.935389,0.956656,16,16,raw+rank,raw+rank
earlystop,math,40,100,task_specific,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,40,100,0.935389,0.956656,16,16,raw+rank,raw+rank
earlystop,math,40,100,task_specific,stop_acc,0.800000,0.031180,5,7680,120,es_svd_ms_rr_r1,40,100,0.935389,0.956656,16,16,raw+rank,raw+rank
earlystop,math,40,100,no_svd,auroc,0.966757,0.010619,5,7680,120,es_svd_ms_rr_r1,40,100,0.935389,0.956656,16,16,raw+rank,raw+rank
earlystop,math,40,100,no_svd,selacc@10%,0.998701,0.002597,5,7680,120,es_svd_ms_rr_r1,40,100,0.935389,0.956656,16,16,raw+rank,raw+rank
