summary_type,domain,metric,source_anchor_pct,target_anchor_pct,pair_label,pair_count,frozen_basis,task_specific,no_svd,delta_fb_minus_ts,delta_fb_minus_nosvd,paired_source_anchor_pct,paired_target_anchor_pct,paired_pair_label,paired_frozen_basis,paired_delta_fb_minus_ts,forward_minus_backward_frozen,forward_minus_backward_delta
adjacent_forward_mean,science,stop_acc,,,"10->40,40->70,70->100",3,0.6453416666666667,0.6554699999999999,0.6385896666666667,-0.010128333333333333,0.006752000000000001,,,,,,,
adjacent_backward_pair,math,auroc,40,10,40->10,1,0.890445,0.895386,0.896373,-0.004941,-0.005928,,,,,,,
adjacent_backward_pair,math,auroc,70,40,70->40,1,0.942584,0.945627,0.947742,-0.003043,-0.005158,,,,,,,
adjacent_backward_pair,math,auroc,100,70,100->70,1,0.956144,0.95826,0.959111,-0.002116,-0.002967,,,,,,,
adjacent_backward_pair,math,selacc@10%,40,10,40->10,1,0.997403,0.998701,0.998701,-0.001298,-0.001298,,,,,,,
adjacent_backward_pair,math,selacc@10%,70,40,70->40,1,0.996104,0.996104,0.997403,0.0,-0.001299,,,,,,,
adjacent_backward_pair,math,selacc@10%,100,70,100->70,1,0.998701,0.998701,0.998701,0.0,0.0,,,,,,,
adjacent_backward_pair,math,stop_acc,40,10,40->10,1,0.716667,0.733333,0.716667,-0.016666,0.0,,,,,,,
adjacent_backward_pair,math,stop_acc,70,40,70->40,1,0.75,0.766667,0.758333,-0.016667,-0.008333,,,,,,,
adjacent_backward_pair,math,stop_acc,100,70,100->70,1,0.766667,0.766667,0.775,0.0,-0.008333,,,,,,,
adjacent_backward_pair,science,auroc,40,10,40->10,1,0.675636,0.683474,0.696647,-0.007838,-0.021011,,,,,,,
adjacent_backward_pair,science,auroc,70,40,70->40,1,0.736207,0.746794,0.743547,-0.010587,-0.00734,,,,,,,
adjacent_backward_pair,science,auroc,100,70,100->70,1,0.760251,0.761127,0.760517,-0.000876,-0.000266,,,,,,,
adjacent_backward_pair,science,selacc@10%,40,10,40->10,1,0.760456,0.817925,0.828119,-0.057469,-0.067663,,,,,,,
adjacent_backward_pair,science,selacc@10%,70,40,70->40,1,0.944044,0.938406,0.940806,0.005638,0.003238,,,,,,,
adjacent_backward_pair,science,selacc@10%,100,70,100->70,1,0.953306,0.95805,0.955669,-0.004744,-0.002363,,,,,,,
adjacent_backward_pair,science,stop_acc,40,10,40->10,1,0.611282,0.647051,0.621795,-0.035769,-0.010513,,,,,,,
adjacent_backward_pair,science,stop_acc,70,40,70->40,1,0.621795,0.646795,0.652051,-0.025,-0.030256,,,,,,,
adjacent_backward_pair,science,stop_acc,100,70,100->70,1,0.642308,0.652179,0.631795,-0.009871,0.010513,,,,,,,
adjacent_backward_mean,math,auroc,,,"40->10,70->40,100->70",3,0.9297243333333333,0.933091,0.9344086666666667,-0.0033666666666666667,-0.004684333333333333,,,,,,,
adjacent_backward_mean,math,selacc@10%,,,"40->10,70->40,100->70",3,0.9974026666666668,0.9978353333333333,0.9982683333333333,-0.00043266666666666665,-0.0008656666666666666,,,,,,,
adjacent_backward_mean,math,stop_acc,,,"40->10,70->40,100->70",3,0.7444446666666668,0.7555556666666666,0.75,-0.011111000000000001,-0.005555333333333333,,,,,,,
adjacent_backward_mean,science,auroc,,,"40->10,70->40,100->70",3,0.7240313333333334,0.730465,0.7335703333333333,-0.0064336666666666665,-0.009538999999999999,,,,,,,
adjacent_backward_mean,science,selacc@10%,,,"40->10,70->40,100->70",3,0.8859353333333333,0.9047936666666666,0.9081980000000001,-0.018858333333333335,-0.022262666666666667,,,,,,,
adjacent_backward_mean,science,stop_acc,,,"40->10,70->40,100->70",3,0.6251283333333334,0.648675,0.6352136666666667,-0.02354666666666667,-0.010085333333333333,,,,,,,
adjacent_symmetry,math,auroc,10,40,10->40,1,0.943174,0.945627,0.947742,-0.002453,-0.004568,40,10,40->10,0.890445,-0.004941,0.052728999999999915,0.002488
