domain,method,method_label,kind,rank,auc_of_auroc,auc_of_selacc,auroc_at_100,stop_acc_at_100,earliest_gt_0p6,fit_time_sec,inference_time_sec,samples,compactness_metric_name,compactness_value,top_family_mass,top_component_purity
science,svd_r24,StandardScaler -> TruncatedSVD(rank=24) -> LogisticRegression,svd,24,0.8366875694371253,0.9828124999999999,0.8760357161926637,0.7166666666666666,10%,42.095163729041815,0.21374772566681108,3840,top5_feature_mass,0.7782125040707373,0.5174528376063574,0.7089727286507939
science,svd_r32,StandardScaler -> TruncatedSVD(rank=32) -> LogisticRegression,svd,32,0.8342248174078095,0.9817708333333333,0.8709904164113482,0.7,10%,39.447850103955716,0.21442986970456937,3840,top5_feature_mass,0.7237194656427677,0.5574341435781536,0.5610450756746194
ms,no_svd_lr,StandardScaler -> LogisticRegression,no_svd,,0.9315995664774578,0.9944488960113961,0.9597781140459022,0.7425925925925926,10%,753.9882348158862,0.9244943920057267,5632,top5_feature_mass,0.7923789882182753,0.5226338423380155,
ms,svd_r2,StandardScaler -> TruncatedSVD(rank=2) -> LogisticRegression,svd,2,0.6725395712527835,0.9266159188034189,0.641370602521257,0.6907407407407408,10%,284.13946622493677,0.7790780290961266,5632,top5_feature_mass,0.5503520184598201,0.4392563955325849,0.3311325118121908
ms,svd_r4,StandardScaler -> TruncatedSVD(rank=4) -> LogisticRegression,svd,4,0.7661653444412957,0.9493456196581196,0.8229435669402124,0.711111111111111,10%,312.0966466809623,0.6302493361290544,5632,top5_feature_mass,0.5979034110389383,0.48789145885203355,0.3929160033845024
ms,svd_r8,StandardScaler -> TruncatedSVD(rank=8) -> LogisticRegression,svd,8,0.8574466618799648,0.9900017806267807,0.8716620204106351,0.7851851851851852,10%,66.76517836004496,0.8715885309502482,5632,top5_feature_mass,0.7420643791272341,0.5912995276279698,0.5755493388365424
ms,svd_r12,StandardScaler -> TruncatedSVD(rank=12) -> LogisticRegression,svd,12,0.9149073643678532,0.9932113603988605,0.945331706601212,0.7277777777777777,10%,28.523272766033188,0.9505925830453634,5632,top5_feature_mass,0.8461603001960316,0.6663763757723447,0.5221129230987205
ms,svd_r16,StandardScaler -> TruncatedSVD(rank=16) -> LogisticRegression,svd,16,0.9229060912018423,0.9952590811965814,0.9534113960411005,0.7462962962962963,10%,37.43891101679765,0.6344025619328022,5632,top5_feature_mass,0.8457454635465228,0.640243413718566,0.5221393227270102
ms,svd_r24,StandardScaler -> TruncatedSVD(rank=24) -> LogisticRegression,svd,24,0.9321748070514505,0.9948985042735043,0.9597904740461054,0.7148148148148148,10%,68.31120014400221,0.6412431770004332,5632,top5_feature_mass,0.8122787412821655,0.5546615550875309,0.6861932629450742
ms,svd_r32,StandardScaler -> TruncatedSVD(rank=32) -> LogisticRegression,svd,32,0.9315005762794654,0.9938123219373219,0.9586430688900829,0.7388888888888889,10%,65.65088291000575,0.6432896091137081,5632,top5_feature_mass,0.7689594818867672,0.5458024262432528,0.6499450121872694
