summary_type,domain,metric,source_anchor_pct,target_anchor_pct,gap_pct,direction,pair_count,pair_label,frozen_basis,task_specific,no_svd,delta_fb_minus_ts,delta_fb_minus_nosvd
near_offdiag_mean,math,selacc@10%,,,,combined,34,,0.9979755294117647,0.9979372352941176,0.998395588235294,3.829411764705884e-05,-0.0004200588235294118
near_offdiag_mean,math,stop_acc,,,,combined,34,,0.7602940588235294,0.7627452058823528,0.7580882941176472,-0.00245114705882353,0.0022057647058823533
near_offdiag_mean,science,auroc,,,,combined,34,,0.7415680588235293,0.7439011470588236,0.7465497647058823,-0.0023330882352941176,-0.00498170588235294
near_offdiag_mean,science,selacc@10%,,,,combined,34,,0.9257786764705883,0.9256094999999999,0.9256329705882353,0.00016917647058823526,0.00014570588235294149
near_offdiag_mean,science,stop_acc,,,,combined,34,,0.6413083823529413,0.6401055294117647,0.6438837647058824,0.0012028529411764704,-0.002575382352941176
far_offdiag_mean,math,auroc,,,,combined,30,,0.9359525333333334,0.9421242,0.9430960000000002,-0.0061716666666666664,-0.0071434666666666665
far_offdiag_mean,math,selacc@10%,,,,combined,30,,0.9981383999999998,0.9982248999999999,0.9984846666666665,-8.649999999999999e-05,-0.00034626666666666666
far_offdiag_mean,math,stop_acc,,,,combined,30,,0.7586112,0.7661111,0.7602778333333335,-0.007499900000000001,-0.0016666333333333334
far_offdiag_mean,science,auroc,,,,combined,30,,0.7259493,0.7356595333333333,0.7397094333333333,-0.009710233333333334,-0.013760133333333337
far_offdiag_mean,science,selacc@10%,,,,combined,30,,0.9018286333333333,0.9021463333333333,0.9065643999999998,-0.0003176999999999996,-0.004735766666666667
far_offdiag_mean,science,stop_acc,,,,combined,30,,0.6410768333333334,0.6357222333333336,0.6381281999999999,0.005354599999999999,0.0029486333333333344
forward_all_mean,math,auroc,,,,forward,45,,0.9562937555555554,0.9574176444444444,0.9585287111111113,-0.0011238888888888887,-0.002234955555555555
forward_all_mean,math,selacc@10%,,,,forward,45,,0.9982682666666663,0.9982970666666663,0.9985567777777774,-2.8799999999999992e-05,-0.0002885111111111111
forward_all_mean,math,stop_acc,,,,forward,45,,0.7735184888888885,0.772963022222222,0.7722223555555554,0.0005554666666666667,0.001296133333333334
forward_all_mean,science,auroc,,,,forward,45,,0.7457058000000001,0.7554994666666668,0.7616423555555555,-0.009793666666666666,-0.015936555555555558
forward_all_mean,science,selacc@10%,,,,forward,45,,0.9382165555555556,0.9475248222222225,0.9528747555555555,-0.009308266666666667,-0.014658200000000001
forward_all_mean,science,stop_acc,,,,forward,45,,0.6429457777777778,0.6436097333333333,0.6414842666666668,-0.0006639555555555555,0.0014615111111111116
backward_all_mean,math,auroc,,,,backward,45,,0.9281896666666667,0.9338325555555557,0.9350138888888888,-0.005642888888888888,-0.006824222222222223
backward_all_mean,math,selacc@10%,,,,backward,45,,0.9978354888888887,0.997806533333333,0.998326022222222,2.895555555555557e-05,-0.0004905333333333334
backward_all_mean,math,stop_acc,,,,backward,45,,0.7438889333333333,0.7537037777777778,0.7444444444444442,-0.009814844444444443,-0.0005555111111111114
backward_all_mean,science,auroc,,,,backward,45,,0.725825488888889,0.7268711333333332,0.7268762444444445,-0.0010456444444444442,-0.0010507555555555556
backward_all_mean,science,selacc@10%,,,,backward,45,,0.8965648222222222,0.8875837777777776,0.8849478444444445,0.008981044444444444,0.011616977777777778
backward_all_mean,science,stop_acc,,,,backward,45,,0.6375012888888889,0.6328004666666667,0.6411053333333333,0.004700822222222222,-0.003604044444444444
gap_mean,math,auroc,,,10,combined,18,,0.9457893333333334,0.9472962222222221,0.9484608888888888,-0.001506888888888889,-0.002671555555555556
gap_mean,math,auroc,,,20,combined,16,,0.9459845,0.9477234999999999,0.94897975,-0.001739,-0.00299525
gap_mean,math,auroc,,,30,combined,14,,0.9454144999999999,0.947554,0.9488363571428572,-0.0021395,-0.003421857142857143
gap_mean,math,auroc,,,40,combined,12,,0.9439512500000001,0.9468224166666667,0.9480713333333334,-0.0028711666666666664,-0.004120083333333333
gap_mean,math,auroc,,,50,combined,10,,0.9418072000000001,0.9456251,0.9467713,-0.0038179,-0.004964100000000001
gap_mean,math,auroc,,,60,combined,8,,0.93875525,0.9438291249999999,0.9448212500000001,-0.005073874999999999,-0.006066
