row_type,domain,anchor_band,anchor_pct,legacy_auroc,neuron_auroc,delta_auroc,legacy_selacc_at_10,neuron_selacc_at_10,delta_selacc_at_10,legacy_stop_acc,neuron_stop_acc,delta_stop_acc,legacy_auc_over_anchor_auroc,neuron_auc_over_anchor_auroc,delta_auc_over_anchor_auroc
per_anchor,science,,90,0.8420124498115482,0.8489421854982366,0.006929735686688421,1.0,0.9947916666666667,-0.005208333333333259,0.7,0.75,0.050000000000000044,0.8268695663577303,0.8293221051412473,0.002452538783516922
per_anchor,science,,100,0.8411018630769418,0.8559370101610655,0.014835147084123701,0.9947916666666667,0.9973958333333333,0.0026041666666665186,0.6499999999999999,0.7166666666666666,0.06666666666666665,0.8268695663577303,0.8293221051412473,0.002452538783516922
band_summary,science,early_10_40,,,,0.0002161602603301116,,,-0.025390625000000056,,,0.029166666666666646,0.8268695663577303,0.8293221051412473,0.002452538783516922
band_summary,science,late_70_100,,,,0.005811858588175373,,,-0.009114583333333315,,,0.029166666666666674,0.8268695663577303,0.8293221051412473,0.002452538783516922
band_summary,science,all_10_100,,,,0.0024525387835168445,,,-0.017708333333333326,,,0.023333333333333327,0.8268695663577303,0.8293221051412473,0.002452538783516922
per_anchor,coding,,10,0.46558136698981767,0.44264186517707643,-0.022939501812741236,0.33125,0.40625,0.07500000000000001,0.56,0.52,-0.040000000000000036,0.43209544758840535,0.44206075614526325,0.0099653085568579
per_anchor,coding,,20,0.454512623526708,0.43612881641050655,-0.018383807116201467,0.24375,0.31875,0.07499999999999998,0.44,0.52,0.08000000000000002,0.43209544758840535,0.44206075614526325,0.0099653085568579
per_anchor,coding,,30,0.4251695096765519,0.4269971030534411,0.0018275933768891472,0.1875,0.29375,0.10625000000000001,0.52,0.52,0.0,0.43209544758840535,0.44206075614526325,0.0099653085568579
per_anchor,coding,,40,0.4170555579006283,0.42918114749100666,0.01212558959037835,0.175,0.28125,0.10625000000000001,0.44,0.44,0.0,0.43209544758840535,0.44206075614526325,0.0099653085568579
per_anchor,coding,,50,0.4152373448148096,0.4317888684085867,0.016551523593777095,0.14375,0.175,0.03125,0.44,0.4,-0.03999999999999998,0.43209544758840535,0.44206075614526325,0.0099653085568579
per_anchor,coding,,60,0.4285980060627948,0.4479917578509128,0.019393751788117974,0.15,0.20625,0.056249999999999994,0.56,0.44,-0.12000000000000005,0.43209544758840535,0.44206075614526325,0.0099653085568579
per_anchor,coding,,70,0.4424261184824565,0.4680311863410455,0.025605067858589015,0.225,0.35,0.12499999999999997,0.48,0.4,-0.07999999999999996,0.43209544758840535,0.44206075614526325,0.0099653085568579
per_anchor,coding,,80,0.4284963862428651,0.46147123611912344,0.032974849876258316,0.2875,0.28125,-0.006249999999999978,0.48,0.48,0.0,0.43209544758840535,0.44206075614526325,0.0099653085568579
per_anchor,coding,,90,0.4370465215535638,0.44403171163734545,0.006985190083781623,0.28125,0.1875,-0.09375,0.52,0.44,-0.08000000000000002,0.43209544758840535,0.44206075614526325,0.0099653085568579
per_anchor,coding,,100,0.40683104063385755,0.4323438689635873,0.02551282832972973,0.2,0.3375,0.1375,0.52,0.44,-0.08000000000000002,0.43209544758840535,0.44206075614526325,0.0099653085568579
band_summary,coding,early_10_40,,,,-0.006842531490418802,,,0.090625,,,0.009999999999999995,0.43209544758840535,0.44206075614526325,0.0099653085568579
band_summary,coding,late_70_100,,,,0.02276948403708967,,,0.040625,,,-0.06,0.43209544758840535,0.44206075614526325,0.0099653085568579
band_summary,coding,all_10_100,,,,0.009965308556857854,,,0.061250000000000006,,,-0.036000000000000004,0.43209544758840535,0.44206075614526325,0.0099653085568579
