bundle_line,bundle_label,domain,anchor_pct,feature_set,n_features,selected_rank,selected_requested_rank,selected_c_value,selected_whiten,selected_class_weight,route_cv_auroc,auroc,selacc_at_10,stop_acc,auc_over_anchor_auroc,auc_over_anchor_selacc,auc_over_anchor_stop_acc,final_anchor_auroc,final_anchor_stop_acc,auroc_ratio_to_final,threshold_value,reaches_95pct_final_auroc,reaches_fixed_threshold,earliest_anchor_95pct_final_auroc,earliest_anchor_fixed_threshold,plateau_anchor_pct,plateau_tolerance_abs,fit_time_sec,inference_time_sec,samples,num_caches
canonical_legacy,B0 legacy canonical,coding,10,"tok_conf_prefix,tok_conf_recency,tok_gini_prefix,tok_gini_tail,tok_gini_slope,tok_neg_entropy_prefix,tok_neg_entropy_recency,tok_selfcert_prefix,tok_selfcert_recency,tok_logprob_prefix,tok_logprob_recency,traj_continuity,traj_reflection_count,traj_novelty,traj_max_reflection,traj_late_convergence,has_tok_conf,has_tok_gini,has_tok_neg_entropy,has_tok_selfcert,has_tok_logprob,has_rows_bank",22,16,16,1.0,False,none,0.5468258677162686,0.46558136698981767,0.33125,0.56,0.43209544758840535,0.2225,0.4959999999999999,0.40683104063385755,0.52,1.1444096454990873,0.55,True,False,10,,100,0.01,74.4478007259313,0.08658348000608385,1600,1
canonical_legacy,B0 legacy canonical,coding,20,"tok_conf_prefix,tok_conf_recency,tok_gini_prefix,tok_gini_tail,tok_gini_slope,tok_neg_entropy_prefix,tok_neg_entropy_recency,tok_selfcert_prefix,tok_selfcert_recency,tok_logprob_prefix,tok_logprob_recency,traj_continuity,traj_reflection_count,traj_novelty,traj_max_reflection,traj_late_convergence,has_tok_conf,has_tok_gini,has_tok_neg_entropy,has_tok_selfcert,has_tok_logprob,has_rows_bank",22,12,12,1.0,True,none,0.5393174801013587,0.454512623526708,0.24375,0.44,0.43209544758840535,0.2225,0.4959999999999999,0.40683104063385755,0.52,1.1172024209818425,0.55,True,False,10,,100,0.01,74.4478007259313,0.08658348000608385,1600,1
canonical_legacy,B0 legacy canonical,coding,30,"tok_conf_prefix,tok_conf_recency,tok_gini_prefix,tok_gini_tail,tok_gini_slope,tok_neg_entropy_prefix,tok_neg_entropy_recency,tok_selfcert_prefix,tok_selfcert_recency,tok_logprob_prefix,tok_logprob_recency,traj_continuity,traj_reflection_count,traj_novelty,traj_max_reflection,traj_late_convergence,has_tok_conf,has_tok_gini,has_tok_neg_entropy,has_tok_selfcert,has_tok_logprob,has_rows_bank",22,12,12,1.0,True,none,0.5441324213224216,0.4251695096765519,0.1875,0.52,0.43209544758840535,0.2225,0.4959999999999999,0.40683104063385755,0.52,1.0450763762128927,0.55,True,False,10,,100,0.01,74.4478007259313,0.08658348000608385,1600,1
canonical_legacy,B0 legacy canonical,coding,40,"tok_conf_prefix,tok_conf_recency,tok_gini_prefix,tok_gini_tail,tok_gini_slope,tok_neg_entropy_prefix,tok_neg_entropy_recency,tok_selfcert_prefix,tok_selfcert_recency,tok_logprob_prefix,tok_logprob_recency,traj_continuity,traj_reflection_count,traj_novelty,traj_max_reflection,traj_late_convergence,has_tok_conf,has_tok_gini,has_tok_neg_entropy,has_tok_selfcert,has_tok_logprob,has_rows_bank",22,12,12,0.05,False,balanced,0.5501136127209415,0.4170555579006283,0.175,0.44,0.43209544758840535,0.2225,0.4959999999999999,0.40683104063385755,0.52,1.0251320972235565,0.55,True,False,10,,100,0.01,74.4478007259313,0.08658348000608385,1600,1
canonical_legacy,B0 legacy canonical,coding,50,"tok_conf_prefix,tok_conf_recency,tok_gini_prefix,tok_gini_tail,tok_gini_slope,tok_neg_entropy_prefix,tok_neg_entropy_recency,tok_selfcert_prefix,tok_selfcert_recency,tok_logprob_prefix,tok_logprob_recency,traj_continuity,traj_reflection_count,traj_novelty,traj_max_reflection,traj_late_convergence,has_tok_conf,has_tok_gini,has_tok_neg_entropy,has_tok_selfcert,has_tok_logprob,has_rows_bank",22,12,12,1.0,False,none,0.5627485011449136,0.4152373448148096,0.14375,0.44,0.43209544758840535,0.2225,0.4959999999999999,0.40683104063385755,0.52,1.0206628878854838,0.55,True,False,10,,100,0.01,74.4478007259313,0.08658348000608385,1600,1
canonical_legacy,B0 legacy canonical,coding,60,"tok_conf_prefix,tok_conf_recency,tok_gini_prefix,tok_gini_tail,tok_gini_slope,tok_neg_entropy_prefix,tok_neg_entropy_recency,tok_selfcert_prefix,tok_selfcert_recency,tok_logprob_prefix,tok_logprob_recency,traj_continuity,traj_reflection_count,traj_novelty,traj_max_reflection,traj_late_convergence,has_tok_conf,has_tok_gini,has_tok_neg_entropy,has_tok_selfcert,has_tok_logprob,has_rows_bank",22,12,12,1.0,False,balanced,0.5718001936423763,0.4285980060627948,0.15,0.56,0.43209544758840535,0.2225,0.4959999999999999,0.40683104063385755,0.52,1.0535036987222595,0.55,True,False,10,,100,0.01,74.4478007259313,0.08658348000608385,1600,1
canonical_legacy,B0 legacy canonical,coding,70,"tok_conf_prefix,tok_conf_recency,tok_gini_prefix,tok_gini_tail,tok_gini_slope,tok_neg_entropy_prefix,tok_neg_entropy_recency,tok_selfcert_prefix,tok_selfcert_recency,tok_logprob_prefix,tok_logprob_recency,traj_continuity,traj_reflection_count,traj_novelty,traj_max_reflection,traj_late_convergence,has_tok_conf,has_tok_gini,has_tok_neg_entropy,has_tok_selfcert,has_tok_logprob,has_rows_bank",22,12,12,1.0,False,balanced,0.5731175741550979,0.4424261184824565,0.225,0.48,0.43209544758840535,0.2225,0.4959999999999999,0.40683104063385755,0.52,1.0874935152272072,0.55,True,False,10,,100,0.01,74.4478007259313,0.08658348000608385,1600,1
canonical_legacy,B0 legacy canonical,coding,80,"tok_conf_prefix,tok_conf_recency,tok_gini_prefix,tok_gini_tail,tok_gini_slope,tok_neg_entropy_prefix,tok_neg_entropy_recency,tok_selfcert_prefix,tok_selfcert_recency,tok_logprob_prefix,tok_logprob_recency,traj_continuity,traj_reflection_count,traj_novelty,traj_max_reflection,traj_late_convergence,has_tok_conf,has_tok_gini,has_tok_neg_entropy,has_tok_selfcert,has_tok_logprob,has_rows_bank",22,16,16,0.5,False,balanced,0.5682730673766409,0.4284963862428651,0.2875,0.48,0.43209544758840535,0.2225,0.4959999999999999,0.40683104063385755,0.52,1.0532539148813527,0.55,True,False,10,,100,0.01,74.4478007259313,0.08658348000608385,1600,1
canonical_legacy,B0 legacy canonical,coding,90,"tok_conf_prefix,tok_conf_recency,tok_gini_prefix,tok_gini_tail,tok_gini_slope,tok_neg_entropy_prefix,tok_neg_entropy_recency,tok_selfcert_prefix,tok_selfcert_recency,tok_logprob_prefix,tok_logprob_recency,traj_continuity,traj_reflection_count,traj_novelty,traj_max_reflection,traj_late_convergence,has_tok_conf,has_tok_gini,has_tok_neg_entropy,has_tok_selfcert,has_tok_logprob,has_rows_bank",22,16,16,1.0,False,balanced,0.5639104679017644,0.4370465215535638,0.28125,0.52,0.43209544758840535,0.2225,0.4959999999999999,0.40683104063385755,0.52,1.0742703429724276,0.55,True,False,10,,100,0.01,74.4478007259313,0.08658348000608385,1600,1
canonical_legacy,B0 legacy canonical,coding,100,"tok_conf_prefix,tok_conf_recency,tok_gini_prefix,tok_gini_tail,tok_gini_slope,tok_neg_entropy_prefix,tok_neg_entropy_recency,tok_selfcert_prefix,tok_selfcert_recency,tok_logprob_prefix,tok_logprob_recency,traj_continuity,traj_reflection_count,traj_novelty,traj_max_reflection,traj_late_convergence,has_tok_conf,has_tok_gini,has_tok_neg_entropy,has_tok_selfcert,has_tok_logprob,has_rows_bank",22,12,12,1.0,False,none,0.5535825273505325,0.40683104063385755,0.2,0.52,0.43209544758840535,0.2225,0.4959999999999999,0.40683104063385755,0.52,1.0,0.55,True,False,10,,100,0.01,74.4478007259313,0.08658348000608385,1600,1
